,subj,trial,choice,roi,rt,upleftval,uprightval,downleftval,downrightval,fixdur,fixnum,revfixnum
2262,28,60,1,1,4766.8,279,200,31,197,397.83,3,12
2275,28,60,1,3,4766.8,279,200,31,197,163,4,11
2283,28,60,1,4,4766.8,279,200,31,197,268.1,5,10
2294,28,60,1,2,4766.8,279,200,31,197,556.8,6,9
2305,28,60,1,4,4766.8,279,200,31,197,325,7,8
2316,28,60,1,2,4766.8,279,200,31,197,407.1,8,7
2326,28,60,1,4,4766.8,279,200,31,197,143.1,9,6
2336,28,60,1,2,4766.8,279,200,31,197,203,10,5
2347,28,60,1,4,4766.8,279,200,31,197,216,11,4
2356,28,60,1,2,4766.8,279,200,31,197,200,12,3
2364,28,60,1,1,4766.8,279,200,31,197,424,13,2
2373,28,60,1,3,4766.8,279,200,31,197,205.4,14,1
2584,28,66,1,2,2858.4,226,294,134,37,234.92,1,10
2592,28,66,1,1,2858.4,226,294,134,37,252,2,9
2602,28,66,1,3,2858.4,226,294,134,37,147.15,3,8
2612,28,66,1,4,2858.4,226,294,134,37,181.2,4,7
2623,28,66,1,2,2858.4,226,294,134,37,196,5,6
2632,28,66,1,1,2858.4,226,294,134,37,263,6,5
2641,28,66,1,3,2858.4,226,294,134,37,204.1,7,4
2651,28,66,1,1,2858.4,226,294,134,37,181.2,8,3
2661,28,66,1,3,2858.4,226,294,134,37,120.9,9,2
2672,28,66,1,1,2858.4,226,294,134,37,483.2,10,1
2681,28,67,0,4,3531.2,280,300,250,89,33.8,1,8
2691,28,67,0,2,3531.2,280,300,250,89,296,2,7
2701,28,67,0,4,3531.2,280,300,250,89,298.8,3,6
2711,28,67,0,3,3531.2,280,300,250,89,168.9,4,5
2723,28,67,0,1,3531.2,280,300,250,89,546,5,4
2734,28,67,0,3,3531.2,280,300,250,89,269.2,6,3
2744,28,67,0,1,3531.2,280,300,250,89,303,7,2
2754,28,67,0,2,3531.2,280,300,250,89,235.2,8,1
2763,28,68,1,1,2829.7,270,250,132,199,199.44,1,6
2772,28,68,1,2,2829.7,270,250,132,199,213.6,2,5
2781,28,68,1,1,2829.7,270,250,132,199,12.9,3,4
2793,28,68,1,3,2829.7,270,250,132,199,278.9,4,3
2801,28,68,1,4,2829.7,270,250,132,199,315,5,2
2812,28,68,1,2,2829.7,270,250,132,199,480,6,1
2821,28,69,1,2,2867.2,300,260,30,250,396.94,1,8
2831,28,69,1,1,2867.2,300,260,30,250,3.1,2,7
2842,28,69,1,3,2867.2,300,260,30,250,239.1,3,6
2854,28,69,1,4,2867.2,300,260,30,250,178.03,4,5
2864,28,69,1,2,2867.2,300,260,30,250,474.9,5,4
2873,28,69,1,4,2867.2,300,260,30,250,358,6,3
2882,28,69,1,2,2867.2,300,260,30,250,374.1,7,2
2892,28,69,1,1,2867.2,300,260,30,250,199.2,8,1
2942,28,71,1,2,3423.3,250,270,234,105,82.72,1,9
2954,28,71,1,4,3423.3,250,270,234,105,209.98,2,8
2965,28,71,1,1,3423.3,250,270,234,105,500.91,3,7
2975,28,71,1,2,3423.3,250,270,234,105,510,4,6
2985,28,71,1,1,3423.3,250,270,234,105,12,5,5
2995,28,71,1,3,3423.3,250,270,234,105,358.9,6,4
3003,28,71,1,1,3423.3,250,270,234,105,522,7,3
3013,28,71,1,3,3423.3,250,270,234,105,208.1,8,2
3021,28,71,1,4,3423.3,250,270,234,105,157.1,9,1
3031,28,72,0,2,1807.2,289,240,28,152,92.93,1,5
3041,28,72,0,1,1807.2,289,240,28,152,2.99,2,4
3052,28,72,0,2,1807.2,289,240,28,152,316.07,3,3
3063,28,72,0,4,1807.2,289,240,28,152,222.2,4,2
3073,28,72,0,2,1807.2,289,240,28,152,247.8,5,1
3204,28,77,0,2,2414.2,300,260,50,250,239.01,1,6
3215,28,77,0,1,2414.2,300,260,50,250,180,2,5
3224,28,77,0,3,2414.2,300,260,50,250,221,3,4
3234,28,77,0,1,2414.2,300,260,50,250,275.1,4,3
3243,28,77,0,2,2414.2,300,260,50,250,239.3,5,2
3255,28,77,0,1,2414.2,300,260,50,250,373.8,6,1
3318,28,79,0,1,2376.9,203,291,174,50,143.34,1,4
3325,28,79,0,2,2376.9,203,291,174,50,315.1,2,3
