"","val_A_scaled","val_B_scaled","prob_A","prob_B","subj_idx","drift","rho","noise","nDT","thetaGaze_A","thetaGaze_B","RT_PN","fixDur_A_sum","fixDur_sum"
"496",0.8,0.2,0.5,0.7,7,3.192590482,0.101371660470792,0.669133087366667,0.438101859,0.58911676868,0.617342891266667,-2.646101859,1242,2208
"497",1,0.2,0.6,0.9,7,3.192590482,0.101371660470792,0.669133087366667,0.438101859,0.58911676868,0.617342891266667,0.696101859,173,258
"498",0.8,0.2,0.6,0.7,8,3.83106310483333,0.134965706016908,0.8063899453,0.812053930033333,0.816554299186667,0.7348408324,1.86605393003333,543,1054
"499",1,0.4,0.7,0.9,8,3.83106310483333,0.134965706016908,0.8063899453,0.812053930033333,0.816554299186667,0.7348408324,-1.10405393003333,6.00000000000006,292
"500",0.8,0.2,0.8,1,8,3.83106310483333,0.134965706016908,0.8063899453,0.812053930033333,0.816554299186667,0.7348408324,-2.56105393003333,522,1749
"501",1,0.4,0.7,1,8,3.83106310483333,0.134965706016908,0.8063899453,0.812053930033333,0.816554299186667,0.7348408324,-2.22105393003333,671,1409
"502",1,0.6,0.7,0.8,8,3.83106310483333,0.134965706016908,0.8063899453,0.812053930033333,0.816554299186667,0.7348408324,-2.50705393003333,948,1695
"503",1,0.2,0.7,0.8,8,3.83106310483333,0.134965706016908,0.8063899453,0.812053930033333,0.816554299186667,0.7348408324,3.00805393003333,998,2196
"504",1,0.6,0.9,1,8,3.83106310483333,0.134965706016908,0.8063899453,0.812053930033333,0.816554299186667,0.7348408324,2.91205393003333,978,2100
"505",1,0.2,0.4,1,8,3.83106310483333,0.134965706016908,0.8063899453,0.812053930033333,0.816554299186667,0.7348408324,-2.40905393003333,854,1597
"506",1,0.4,0.4,0.5,8,3.83106310483333,0.134965706016908,0.8063899453,0.812053930033333,0.816554299186667,0.7348408324,2.84105393003333,837,2029
"507",1,0.2,0.5,0.6,8,3.83106310483333,0.134965706016908,0.8063899453,0.812053930033333,0.816554299186667,0.7348408324,1.74105393003333,543,929
"508",0.8,0.2,0.5,0.8,8,3.83106310483333,0.134965706016908,0.8063899453,0.812053930033333,0.816554299186667,0.7348408324,-1.05605393003333,0,244
"509",0.8,0.2,0.5,0.7,8,3.83106310483333,0.134965706016908,0.8063899453,0.812053930033333,0.816554299186667,0.7348408324,2.86805393003333,1106,2056
"510",1,0.2,0.8,1,8,3.83106310483333,0.134965706016908,0.8063899453,0.812053930033333,0.816554299186667,0.7348408324,-1.68805393003333,370,876
"511",0.8,0.2,0.4,0.6,8,3.83106310483333,0.134965706016908,0.8063899453,0.812053930033333,0.816554299186667,0.7348408324,-2.09305393003333,446,1281
"512",1,0.2,0.9,1,8,3.83106310483333,0.134965706016908,0.8063899453,0.812053930033333,0.816554299186667,0.7348408324,-1.50905393003333,322,697
"513",1,0.2,0.6,0.9,8,3.83106310483333,0.134965706016908,0.8063899453,0.812053930033333,0.816554299186667,0.7348408324,3.17305393003333,1471,2361
"514",0.8,0.4,0.6,0.7,8,3.83106310483333,0.134965706016908,0.8063899453,0.812053930033333,0.816554299186667,0.7348408324,1.44305393003333,253,631
"515",1,0.4,0.9,1,8,3.83106310483333,0.134965706016908,0.8063899453,0.812053930033333,0.816554299186667,0.7348408324,1.38405393003333,52.0000000000001,572
"516",1,0.2,0.4,0.6,8,3.83106310483333,0.134965706016908,0.8063899453,0.812053930033333,0.816554299186667,0.7348408324,1.61605393003333,422,804
"517",1,0.2,0.5,0.9,8,3.83106310483333,0.134965706016908,0.8063899453,0.812053930033333,0.816554299186667,0.7348408324,2.79605393003333,941,1984
"518",1,0.2,0.6,1,8,3.83106310483333,0.134965706016908,0.8063899453,0.812053930033333,0.816554299186667,0.7348408324,1.25305393003333,43.0000000000001,441
