"","val_A_scaled","val_B_scaled","prob_A","prob_B","subj_idx","drift","rho","noise","nDT","bias","thetaGaze_A","thetaGaze_B","RT_PN","fixDur_A_sum","fixDur_sum"
"1123",90,36,0.4,1,17,0.234382476703333,0.273835543183933,0.302359548186667,0.673807130533333,0.623027549033333,0.284198562216667,0.9014735193,-2.79080713053333,1294,2117
"1124",90,54,0.6,1,17,0.234382476703333,0.273835543183933,0.302359548186667,0.673807130533333,0.623027549033333,0.284198562216667,0.9014735193,-2.17180713053333,0,1498
"1125",20,16,0.8,1,17,0.234382476703333,0.273835543183933,0.302359548186667,0.673807130533333,0.623027549033333,0.284198562216667,0.9014735193,5.90480713053333,2428,5231
"1126",30,24,0.8,1,17,0.234382476703333,0.273835543183933,0.302359548186667,0.673807130533333,0.623027549033333,0.284198562216667,0.9014735193,-5.13680713053333,2227,4463
"1127",80,48,0.6,1,17,0.234382476703333,0.273835543183933,0.302359548186667,0.673807130533333,0.623027549033333,0.284198562216667,0.9014735193,-3.45680713053333,2371,2783
"1128",40,16,0.4,1,17,0.234382476703333,0.273835543183933,0.302359548186667,0.673807130533333,0.623027549033333,0.284198562216667,0.9014735193,-2.47680713053333,524,1803
"1129",90,45,0.5,1,17,0.234382476703333,0.273835543183933,0.302359548186667,0.673807130533333,0.623027549033333,0.284198562216667,0.9014735193,-3.77480713053333,1835,3101
"1130",10,9,0.9,1,17,0.234382476703333,0.273835543183933,0.302359548186667,0.673807130533333,0.623027549033333,0.284198562216667,0.9014735193,-12.2398071305333,1900,11566
"1131",40,28,0.7,1,17,0.234382476703333,0.273835543183933,0.302359548186667,0.673807130533333,0.623027549033333,0.284198562216667,0.9014735193,-4.39580713053333,2880,3722
"1132",80,64,0.8,1,17,0.234382476703333,0.273835543183933,0.302359548186667,0.673807130533333,0.623027549033333,0.284198562216667,0.9014735193,-2.76980713053333,1094,2096
"1133",20,18,0.9,1,17,0.234382476703333,0.273835543183933,0.302359548186667,0.673807130533333,0.623027549033333,0.284198562216667,0.9014735193,-2.77080713053333,592,2097
"1134",60,48,0.8,1,17,0.234382476703333,0.273835543183933,0.302359548186667,0.673807130533333,0.623027549033333,0.284198562216667,0.9014735193,-5.48680713053333,1243,4813
"1135",60,42,0.7,1,17,0.234382476703333,0.273835543183933,0.302359548186667,0.673807130533333,0.623027549033333,0.284198562216667,0.9014735193,-5.69180713053333,2030,5018
"1136",40,32,0.8,1,17,0.234382476703333,0.273835543183933,0.302359548186667,0.673807130533333,0.623027549033333,0.284198562216667,0.9014735193,-6.96780713053333,2210,6294
"1137",50,30,0.6,1,17,0.234382476703333,0.273835543183933,0.302359548186667,0.673807130533333,0.623027549033333,0.284198562216667,0.9014735193,-1.85180713053333,562,1178
"1138",70,28,0.4,1,17,0.234382476703333,0.273835543183933,0.302359548186667,0.673807130533333,0.623027549033333,0.284198562216667,0.9014735193,-1.77980713053333,134,1106
"1139",100,90,0.9,1,17,0.234382476703333,0.273835543183933,0.302359548186667,0.673807130533333,0.623027549033333,0.284198562216667,0.9014735193,-3.42280713053333,646,2749
"1140",20,10,0.5,1,17,0.234382476703333,0.273835543183933,0.302359548186667,0.673807130533333,0.623027549033333,0.284198562216667,0.9014735193,-5.91880713053333,2067,5245
"1141",20,14,0.7,1,17,0.234382476703333,0.273835543183933,0.302359548186667,0.673807130533333,0.623027549033333,0.284198562216667,0.9014735193,-10.5448071305333,1790,9871
"1142",100,80,0.8,1,17,0.234382476703333,0.273835543183933,0.302359548186667,0.673807130533333,0.623027549033333,0.284198562216667,0.9014735193,-3.55180713053333,1278,2878
"1143",50,45,0.9,1,17,0.234382476703333,0.273835543183933,0.302359548186667,0.673807130533333,0.623027549033333,0.284198562216667,0.9014735193,-9.58180713053333,3720,8908
"1144",60,30,0.5,1,17,0.234382476703333,0.273835543183933,0.302359548186667,0.673807130533333,0.623027549033333,0.284198562216667,0.9014735193,-8.08680713053333,2501,7413
"1145",20,8,0.4,1,17,0.234382476703333,0.273835543183933,0.302359548186667,0.673807130533333,0.623027549033333,0.284198562216667,0.9014735193,-3.43780713053333,1562,2764
"1146",10,3,0.3,1,17,0.234382476703333,0.273835543183933,0.302359548186667,0.673807130533333,0.623027549033333,0.284198562216667,0.9014735193,8.60580713053333,4124,7932
"1147",50,25,0.5,1,17,0.234382476703333,0.273835543183933,0.302359548186667,0.673807130533333,0.623027549033333,0.284198562216667,0.9014735193,-5.72780713053333,2428,5054
"1148",10,6,0.6,1,17,0.234382476703333,0.273835543183933,0.302359548186667,0.673807130533333,0.623027549033333,0.284198562216667,0.9014735193,6.60080713053333,2594,5927
"1149",40,36,0.9,1,17,0.234382476703333,0.273835543183933,0.302359548186667,0.673807130533333,0.623027549033333,0.284198562216667,0.9014735193,-5.12880713053333,1852,4455
"1150",100,50,0.5,1,17,0.234382476703333,0.273835543183933,0.302359548186667,0.673807130533333,0.623027549033333,0.284198562216667,0.9014735193,-7.00480713053333,2398,6331
"1151",100,60,0.6,1,17,0.234382476703333,0.273835543183933,0.302359548186667,0.673807130533333,0.623027549033333,0.284198562216667,0.9014735193,-3.16580713053333,708,2492
"1152",70,49,0.7,1,17,0.234382476703333,0.273835543183933,0.302359548186667,0.673807130533333,0.623027549033333,0.284198562216667,0.9014735193,-5.47280713053333,2122,4799
"1153",10,8,0.8,1,17,0.234382476703333,0.273835543183933,0.302359548186667,0.673807130533333,0.623027549033333,0.284198562216667,0.9014735193,-9.29380713053333,3252,8620
"1154",80,72,0.9,1,17,0.234382476703333,0.273835543183933,0.302359548186667,0.673807130533333,0.623027549033333,0.284198562216667,0.9014735193,-3.42880713053333,925,2755
"1155",70,63,0.9,1,17,0.234382476703333,0.273835543183933,0.302359548186667,0.673807130533333,0.623027549033333,0.284198562216667,0.9014735193,-3.65180713053333,1714,2978
"1156",30,21,0.7,1,17,0.234382476703333,0.273835543183933,0.302359548186667,0.673807130533333,0.623027549033333,0.284198562216667,0.9014735193,5.47480713053333,2528,4801
"1157",30,27,0.9,1,17,0.234382476703333,0.273835543183933,0.302359548186667,0.673807130533333,0.623027549033333,0.284198562216667,0.9014735193,50,3010,49326.1928694667
"1158",20,12,0.6,1,17,0.234382476703333,0.273835543183933,0.302359548186667,0.673807130533333,0.623027549033333,0.284198562216667,0.9014735193,50,3404,49326.1928694667
"1159",70,42,0.6,1,17,0.234382476703333,0.273835543183933,0.302359548186667,0.673807130533333,0.623027549033333,0.284198562216667,0.9014735193,-6.39180713053333,1416,5718
"1160",30,12,0.4,1,17,0.234382476703333,0.273835543183933,0.302359548186667,0.673807130533333,0.623027549033333,0.284198562216667,0.9014735193,-2.32980713053333,360,1656
"1161",50,15,0.3,1,17,0.234382476703333,0.273835543183933,0.302359548186667,0.673807130533333,0.623027549033333,0.284198562216667,0.9014735193,-2.14580713053333,604,1472
"1162",90,27,0.3,1,17,0.234382476703333,0.273835543183933,0.302359548186667,0.673807130533333,0.623027549033333,0.284198562216667,0.9014735193,-2.39480713053333,432,1721
