"","val_A1","val_B1","val_A2","val_B2","subj_idx","drift","rho","noise","nDT","bias","thetaGaze_A","thetaGaze_B","RT_PN","fixDur_A_sum","fixDur_sum"
"3013",162,121,76.7358,107,17,0.171601235191667,0.59066890101,0.7049198112,0.633634214133333,0.50488688,0.840547638023333,0.75024993708,3.30763421413333,1435.33,2674
"3014",299,114,67,197.2434,17,0.171601235191667,0.59066890101,0.7049198112,0.633634214133333,0.50488688,0.840547638023333,0.75024993708,0.967634214133333,331.16,334
"3015",36,113,283,132.0805,17,0.171601235191667,0.59066890101,0.7049198112,0.633634214133333,0.50488688,0.840547638023333,0.75024993708,1.26863421413333,170.67,635
"3016",289,142.6763,92,214,17,0.171601235191667,0.59066890101,0.7049198112,0.633634214133333,0.50488688,0.840547638023333,0.75024993708,0.974634214133333,170.78,341
"3017",253.2167,168,113,187,17,0.171601235191667,0.59066890101,0.7049198112,0.633634214133333,0.50488688,0.840547638023333,0.75024993708,1.14963421413333,164.6,516
"3018",54,222.0767,272,86,17,0.171601235191667,0.59066890101,0.7049198112,0.633634214133333,0.50488688,0.840547638023333,0.75024993708,2.43263421413333,958.7,1799
"3019",193,103,39.804,135,17,0.171601235191667,0.59066890101,0.7049198112,0.633634214133333,0.50488688,0.840547638023333,0.75024993708,2.36063421413333,597.16,1727
"3020",279,125,72.4665,186,17,0.171601235191667,0.59066890101,0.7049198112,0.633634214133333,0.50488688,0.840547638023333,0.75024993708,-2.42963421413333,910.99,1796
"3021",123,77,35,73.3212,17,0.171601235191667,0.59066890101,0.7049198112,0.633634214133333,0.50488688,0.840547638023333,0.75024993708,1.09763421413333,206.14,464
"3022",40,150,257,71.5927,17,0.171601235191667,0.59066890101,0.7049198112,0.633634214133333,0.50488688,0.840547638023333,0.75024993708,1.59263421413333,353.26,959
"3023",299,171,37.6023,76,17,0.171601235191667,0.59066890101,0.7049198112,0.633634214133333,0.50488688,0.840547638023333,0.75024993708,-2.65563421413333,479.1,2022
"3024",30.9468,99,240,85,17,0.171601235191667,0.59066890101,0.7049198112,0.633634214133333,0.50488688,0.840547638023333,0.75024993708,1.86463421413333,226,1231
"3025",183.3187,123,72,108,17,0.171601235191667,0.59066890101,0.7049198112,0.633634214133333,0.50488688,0.840547638023333,0.75024993708,3.84863421413333,1410.33,3215
"3026",103,176,287.1928,173,17,0.171601235191667,0.59066890101,0.7049198112,0.633634214133333,0.50488688,0.840547638023333,0.75024993708,-0.905634214133333,173.65,272
"3027",72,155,219.9473,103,17,0.171601235191667,0.59066890101,0.7049198112,0.633634214133333,0.50488688,0.840547638023333,0.75024993708,-1.17463421413333,497.74,541
"3028",281.0036,232,162,198,17,0.171601235191667,0.59066890101,0.7049198112,0.633634214133333,0.50488688,0.840547638023333,0.75024993708,1.72563421413333,276.9,1092
"3029",75,170,255.7032,156,17,0.171601235191667,0.59066890101,0.7049198112,0.633634214133333,0.50488688,0.840547638023333,0.75024993708,-1.39763421413333,645.85,764
"3030",295,146,31,100.9961,17,0.171601235191667,0.59066890101,0.7049198112,0.633634214133333,0.50488688,0.840547638023333,0.75024993708,-2.09963421413333,657.1,1466
"3031",70,143.3388,289,144,17,0.171601235191667,0.59066890101,0.7049198112,0.633634214133333,0.50488688,0.840547638023333,0.75024993708,-1.90763421413333,455.76,1274
"3032",265,123,33.5172,132,17,0.171601235191667,0.59066890101,0.7049198112,0.633634214133333,0.50488688,0.840547638023333,0.75024993708,-1.35163421413333,499.95,718
"3033",162,117.2733,82,125,17,0.171601235191667,0.59066890101,0.7049198112,0.633634214133333,0.50488688,0.840547638023333,0.75024993708,2.82963421413333,1152.5,2196
"3034",33.2771,97,274,122,17,0.171601235191667,0.59066890101,0.7049198112,0.633634214133333,0.50488688,0.840547638023333,0.75024993708,1.36363421413333,4.18000000000007,730
"3035",77,211,242,108.2796,17,0.171601235191667,0.59066890101,0.7049198112,0.633634214133333,0.50488688,0.840547638023333,0.75024993708,2.73163421413333,1412.9,2098
"3036",65,141.3128,291,140,17,0.171601235191667,0.59066890101,0.7049198112,0.633634214133333,0.50488688,0.840547638023333,0.75024993708,-1.81963421413333,834.84,1186
"3037",221.4987,110,61,166,17,0.171601235191667,0.59066890101,0.7049198112,0.633634214133333,0.50488688,0.840547638023333,0.75024993708,0.984634214133333,0,351
"3038",250,204,152,189.8031,17,0.171601235191667,0.59066890101,0.7049198112,0.633634214133333,0.50488688,0.840547638023333,0.75024993708,-4.10063421413333,2429.17,3467
